x,y
1.946220793672257230e+02,1.015364250959730725e+03
1.980284544322856846e+02,1.035072031375498909e+03
1.985954479281751333e+02,1.055063992719389489e+03
2.056699873254634952e+02,1.073770967149163425e+03
2.062369808213529438e+02,1.093762928493054005e+03
2.002340600597074172e+02,1.112840793738657567e+03
2.045743108060190991e+02,1.132364170072149136e+03
2.133950271126435894e+02,1.150313960149975856e+03
2.230598379400667568e+02,1.167823712623101301e+03
2.264662130051267184e+02,1.187531493038869485e+03
2.251302823673258047e+02,1.207486825392177479e+03
2.209680096806141023e+02,1.227048918482679255e+03
2.215350031765035510e+02,1.247040879826569835e+03
2.303557194831280697e+02,1.264990669904396555e+03
2.400205303105512655e+02,1.282500422377522000e+03
2.488412466171757842e+02,1.300450212455348719e+03
2.654551060572016468e+02,1.311584828502032224e+03
2.742758223638261370e+02,1.329534618579858943e+03
2.729398917260252233e+02,1.349489950933166938e+03
2.800144311233135568e+02,1.368196925362940874e+03
2.879710711496627482e+02,1.386546090997680267e+03
2.875861666124193903e+02,1.406542386867095956e+03
2.789292836216028491e+02,1.424571762255148315e+03
2.729263628599573508e+02,1.443649627500751876e+03
2.642694798691408096e+02,1.461679002888804234e+03
2.477577115874780418e+02,1.472964458493815300e+03
2.284629660630396870e+02,1.478228752857466134e+03
2.130987151033089333e+02,1.491032650406510129e+03
1.933909346875407209e+02,1.494439025471570176e+03
1.740490477219955778e+02,1.489350665361271922e+03
1.540527518525799167e+02,1.488965760824028621e+03
1.357035862178406092e+02,1.496922400850377926e+03
1.159958058020723826e+02,1.500328775915437973e+03
9.625782101929809187e+01,1.497102019538676586e+03
7.964396157927224351e+01,1.485967403491993082e+03
6.161458619121980718e+01,1.477310520501176597e+03
4.205249310071812374e+01,1.473148247814464867e+03
2.206053175682744794e+01,1.473715241310354259e+03
4.110741679000668114e+00,1.482535957616978749e+03
-7.023874367682941156e+00,1.499149817057004611e+03
-2.405392401502403743e+01,1.509636828500170850e+03
-4.056569229668681942e+01,1.520922284105181916e+03
-5.759574194402792813e+01,1.531409295548347927e+03
-7.744328198073911551e+01,1.533874078397027915e+03
-9.738562057656672266e+01,1.535391685503417648e+03
-1.154149959646191519e+02,1.526734802512601163e+03
-1.296213813787591960e+02,1.512657209910706797e+03
-1.467462293146413117e+02,1.502325724868714360e+03
-1.658240945602447880e+02,1.496322804107068805e+03
-1.793445501320908875e+02,1.481585189607777011e+03
3.646976604391491605e+02,1.019971821376539424e+03
3.756026811195863502e+02,1.036737277647074961e+03
3.785576146059077018e+02,1.056517782395220820e+03
3.786674117958042416e+02,1.076517481007377228e+03
3.853124309221893213e+02,1.095381301426634309e+03
3.977617307619098028e+02,1.111034254295046594e+03
4.078566672237025728e+02,1.128299602766258204e+03
4.217375034355360413e+02,1.142698296667451132e+03
4.395642565088570564e+02,1.151765097363553423e+03
4.590260806517468382e+02,1.156373502839553794e+03
4.789456559665098894e+02,1.158165295037182204e+03
4.978094763857668568e+02,1.151520275910797181e+03
5.108235145180785253e+02,1.136333610329085786e+03
5.181547194265037888e+02,1.117725723974352150e+03
5.338076722949160740e+02,1.105276424134631725e+03
5.475295805795167325e+02,1.090726192760904041e+03
5.619282744807097743e+02,1.076845356549070630e+03
5.692594793891350946e+02,1.058237470194336993e+03
5.836581732903281363e+02,1.044356633982503581e+03
5.891873898841606660e+02,1.025136130246688253e+03
5.900293410331028099e+02,1.005153860148854164e+03
5.937064958706483822e+02,9.854948028901574162e+02
6.036112580210120768e+02,9.681196572290493805e+02
6.091404746148446065e+02,9.488991534932341665e+02
6.155779768725400345e+02,9.299635107874223650e+02
6.246447775686422119e+02,9.121367577141013498e+02
6.402977304370544971e+02,8.996874578743808115e+02
6.597077832427204385e+02,8.948656480397585256e+02
6.782340546110109472e+02,8.873305787508628555e+02
6.905107416089069829e+02,8.715418816432579661e+02
7.090370129771974916e+02,8.640068123543622960e+02
7.213136999750935274e+02,8.482181152467574066e+02
7.312184621254572221e+02,8.308429695856492572e+02
7.330102543230855190e+02,8.109233942708862060e+02
7.246022042271528107e+02,7.927766399168898488e+02
7.136971835467155643e+02,7.760111836463544250e+02
7.107422500603942126e+02,7.562306788982086800e+02
7.032071807714985425e+02,7.377044075299181713e+02
6.900271842801276989e+02,7.226615456849283419e+02
6.717892071239944016e+02,7.144532456628554655e+02
6.586092106326235580e+02,6.994103838178656360e+02
6.396735679268117565e+02,6.929728815601702081e+02
6.251233365530840729e+02,6.792509732755695495e+02
6.112425003412505475e+02,6.648522793743765078e+02
5.954538032336456581e+02,6.525755923764804720e+02
5.765181605278337429e+02,6.461380901187850441e+02
5.565985852130706917e+02,6.443462979211567472e+02
5.371367610701809099e+02,6.397378924451562625e+02
5.172380595282927516e+02,6.417482846822234706e+02
4.974263032415010457e+02,6.390107104215378513e+02
5.421039814877623257e+02,9.802826543088453946e+02
5.453866078932278469e+02,9.605538843552435537e+02
5.439254684053720439e+02,9.406073289785117595e+02
5.378029374854412481e+02,9.215675124054853313e+02
5.382444547819778791e+02,9.015723864374685945e+02
5.469523485553880846e+02,8.835675930192978740e+02
5.610701064137730327e+02,8.694011215795917451e+02
5.790447981095413752e+02,8.606312607801220338e+02
5.988992369884460913e+02,8.582226809488030312e+02
6.176261661564171845e+02,8.512011338302688728e+02
6.366659827294436127e+02,8.450786029103380770e+02
6.526561412608009505e+02,8.330654921499206012e+02
6.725105801397056666e+02,8.306569123186015986e+02
6.918201528093975412e+02,8.254472670990219285e+02
7.093571984978383398e+02,8.158320693100245080e+02
7.290745441889929452e+02,8.124815053432413379e+02
7.489289830678976614e+02,8.100729255119223353e+02
7.673277214305741154e+02,8.179142536304095756e+02
7.844232498224782830e+02,8.282941818094288919e+02
7.940384476114758172e+02,8.458312274978695768e+02
7.973890115782589874e+02,8.655485731890241823e+02
7.922459103482732417e+02,8.848759762669889142e+02
7.861889996411813399e+02,9.039367693429948076e+02
7.904739576383886970e+02,9.234723557166404362e+02
7.992438184378584083e+02,9.414470474124087787e+02
8.120041647956746829e+02,9.568474876927567720e+02
8.307551690428058464e+02,9.638044870260951029e+02
8.461994718053114184e+02,9.765117098611626716e+02
8.549693326047811297e+02,9.944864015569310141e+02
8.677296789625974043e+02,1.009886841837279007e+03
8.864806832097285678e+02,1.016843841170617338e+03
9.019249859722341398e+02,1.029551064005685021e+03
9.167471615708631134e+02,1.042978763381356430e+03
9.343172233964825182e+02,1.052533496629538149e+03
9.503486670096949638e+02,1.064491456977205871e+03
9.669309350975731832e+02,1.075673066211199512e+03
9.868824051310366485e+02,1.077065489819089635e+03
1.004857096826804991e+03,1.068295629019619810e+03
1.021400750757119908e+03,1.057056967416298221e+03
1.040127679925090888e+03,1.050035420297763949e+03
1.057664725613531573e+03,1.040420222508766528e+03
1.072440560692330109e+03,1.026941546842212801e+03
1.083622169926323750e+03,1.010359278754334582e+03
1.090579169259661967e+03,9.916082745072034186e+02
1.098420497378149093e+03,9.732095361445269646e+02
1.110378457725816816e+03,9.571780925313145190e+02
1.124496215584201764e+03,9.430116210916083901e+02
1.134876143763221080e+03,9.259160926997042225e+02
1.135317661059757711e+03,9.059209667316874857e+02
1.136710084667647834e+03,8.859694966982240203e+02
7.112786701474997244e+02,9.879920802519770859e+02
7.017182341891153783e+02,9.704251208028967994e+02
7.022221335024404425e+02,9.504314696735500547e+02
7.017741258437117722e+02,9.304364880747158395e+02
7.113836306295798977e+02,9.128963222325586457e+02
7.128382954209429272e+02,8.929492936231449676e+02
7.171169119727645693e+02,8.734123173882595665e+02
7.275501271437270816e+02,8.563492572525043443e+02
7.354488205840358432e+02,8.379750731363041041e+02
7.369034853753988727e+02,8.180280445268904259e+02
7.430198356792099048e+02,7.989862415933163220e+02
7.578376518875419379e+02,7.855537316708896469e+02
7.754046113366222244e+02,7.759932957125053008e+02
7.953556283405570184e+02,7.745943959631644020e+02
8.140848357047589161e+02,7.816098639809608812e+02
8.267970710660060831e+02,7.970500411859109136e+02
8.447746084974193082e+02,8.058140669676014340e+02
8.574868438586664752e+02,8.212542441725514664e+02
8.709193537810931502e+02,8.360720603808834994e+02
8.874666548911789050e+02,8.473053513489015813e+02
9.074136835005925832e+02,8.487600161402646108e+02
9.239609846106783380e+02,8.599933071082826928e+02
9.432722473054891452e+02,8.651966841974439149e+02
9.586768287622375055e+02,8.779520309250873424e+02
9.766543661936507306e+02,8.867160567067777492e+02
9.907767217219310396e+02,9.008779447988667926e+02
1.007839781857686262e+03,9.113111599698293048e+02
1.027376758092571663e+03,9.155897765216509470e+02
1.046925618318809484e+03,9.113657897964088761e+02
1.066251350936251129e+03,9.062164151936871122e+02
1.085562613631061822e+03,9.114197922828484479e+02
1.103936797747262062e+03,9.193184857231572096e+02
1.123931779346096391e+03,9.188704780644285393e+02
1.142680524374688503e+03,9.119073925520394823e+02
1.156842412466777432e+03,8.977850370237592870e+02
1.174844378368226216e+03,8.890712993823635770e+02
1.194393238594464037e+03,8.848473126571215062e+02
1.213718971211905682e+03,8.796979380543997422e+02
1.233580828150501929e+03,8.773513151723125247e+02
1.253436047804539839e+03,8.797534501580914821e+02
1.272747310499350533e+03,8.849568272472528179e+02
1.292475013878394293e+03,8.816677970880009525e+02
1.309053651560466733e+03,8.704808058657566789e+02
1.325081212794579642e+03,8.585176423674691932e+02
1.337836559522223070e+03,8.431130609107208329e+02
1.343039936611384292e+03,8.238017982159100256e+02
1.345442071597163249e+03,8.039465785618720020e+02
1.341218084871921292e+03,7.843977183356342948e+02
1.341721984185246356e+03,7.644040672062875501e+02
1.346925361274407578e+03,7.450928045114767428e+02
8.935075090266069537e+02,1.012536253125870871e+03
8.845400974869867241e+02,1.030413208411351889e+03
8.731198052666280773e+02,1.046832006345476657e+03
8.658923114965418790e+02,1.065480420052904037e+03
